Date,CE,CW,NE,NO,NW,SE,SW
1986-04-15,23.39232353847954,7.455160523980486,1.0,0.0,25.86328177469223,14.23961457276207,0.0
1986-05-15,29.14395117205907,4.1501974748202395,2.694198201318867,2.5582437431846428,19.99046464783772,5.6976382100898535,0.0
1986-06-15,36.16030481751288,3.8615030367913,3.980746913116249,3.881899958932487,12.218222975508443,7.65794997016179,0.0
1986-07-15,40.43706984498343,11.591151586699072,3.5760007626569212,0.9296629386217512,17.33376505933417,8.878620466629648,0.0
1986-08-15,42.32304460517983,8.680591562682402,3.886744107794128,0.9201703121944772,19.126170404165833,17.047255938586794,0.0
1986-09-15,35.05293648366383,0.3553189659999418,2.4822792588745317,0.0,22.98043838561164,15.166114016905162,0.0
1986-10-15,6.764045201976761,0.0,0.0,0.0,0.0,3.0,0.0
1987-03-15,0.0,0.0,0.979462855449952,0.0,0.0,0.0,0.0
1987-04-15,21.915083632704487,9.952952885897107,3.820483758268758,2.662042241722281,30.937397997315266,7.611976927577627,0.0
1987-05-15,37.153267964569785,12.945445885298469,2.4461277696288155,2.8795971189084857,35.106883037018626,10.793634268895568,0.0
1987-06-15,33.666053746787746,8.773027729219429,3.623570703982848,1.058764718499784,25.593300317122658,11.016477554643046,0.0
1987-07-15,35.61533685585017,11.98007140050488,3.9973343600336393,2.7035135299067767,28.571082131171906,20.283804538826192,3.0
1987-08-15,37.0432964297664,11.592020488686027,3.658228273930765,3.680652578894495,12.285047210812277,22.28412107740917,3.0
1987-09-15,31.657614435163435,1.8795483666124,1.9057692077445076,0.733106381861719,15.131126458788335,16.400796892696427,3.0
1987-10-15,29.788902379058694,0.0,1.8825709572014038,0.0,0.0,8.651360656977394,0.0
1988-03-15,0.0,4.8566547070189126,0.0,0.0,5.110732449350719,0.0,0.0
1988-04-15,30.32196424842273,14.706615153687128,3.0335151381534624,2.726874125200368,33.21733214386965,4.3174752493456205,0.0
1988-05-15,31.970257624625216,13.189257411886192,1.8482512840727263,2.798691758455048,23.051926299600442,9.971876338916275,0.0
1988-06-15,37.447729770248046,11.899631823171395,3.7459418263370976,2.6786153554943444,13.200976039084262,8.958974720516835,0.0
1988-07-15,41.97221808116724,12.965790037352255,3.3744877764865544,1.864721938999474,20.162001428252754,9.313637568161898,0.0
1988-08-15,27.35144370241334,4.9058207203796265,1.9548016945641693,1.837120345407207,24.011089440024385,9.514508703237938,0.0
1988-09-15,39.48403264884736,9.0805867315936,3.6482758191553417,0.0,18.01651542258983,8.157126310092838,0.0
1988-10-15,24.728680576641363,0.0,0.0,0.0,0.0,8.993770705353104,0.0
1989-03-15,6.2156093000993575,10.296682089987266,2.9958110471043695,0.0,19.95614070396127,0.0,0.0
1989-04-15,30.519776781623175,13.92074309055571,3.8499933557805717,2.8766864633280056,36.65024808853424,17.33780015568517,0.0
1989-05-15,42.94515421708349,11.172566154519291,3.6121583523706207,2.913693283165092,30.576743472760064,5.142733506465169,0.0
1989-06-15,37.702461305095284,12.74375452390069,3.968137582587941,2.779740855174139,26.323184315118276,6.46003486035833,0.0
1989-07-15,31.26319244622371,11.369916842618482,3.269186603058166,1.030265552014403,11.594965897989166,6.73478927666353,0.0
1989-08-15,33.91072289895019,11.356654518561372,2.8348575135851295,2.9206111882840524,26.41966507286063,3.881531492719014,0.0
1989-09-15,34.11799630652828,10.776007357805257,2.893350312594643,3.447031442866736,24.158650388831205,1.7608286698550901,0.0
1989-10-15,13.268150221784266,0.0,0.0,0.0,0.0,0.0,0.0
1990-03-15,34.35257995723859,8.200428861180168,3.8495436795159397,0.0,4.986612431269894,3.854976171044286,0.0
1990-04-15,39.70231523438223,12.862932820152878,3.8027221372662314,1.0787322768964502,39.43286461842246,20.002703295237254,0.0
1990-05-15,34.233182964158964,14.682099432621367,3.9663580912710237,1.732940811320952,28.559323583315553,11.583118245969192,0.0
1990-06-15,33.317875644630334,10.877360383020031,3.9151152715444737,2.7602596278137694,26.526024597803556,6.824541637824934,0.0
1990-07-15,37.40195299218566,5.845285386085875,3.9571825913734786,1.7722974326766934,27.717969976787657,4.977428590898859,0.0
1990-08-15,37.10700550812656,5.215149744776587,4.0,1.8862070846851253,20.575887743703838,4.2207174410504695,0.0
1990-09-15,39.264576941809594,8.831140888404256,1.3945575825291079,0.7663584039312684,6.918376248287251,2.7512298489011813,0.0
1990-10-15,11.597151144431606,0.0,0.3389920149191665,0.0,0.0,8.739389479903345,0.0
1991-01-01,14.785905211971743,0.0,0.0,0.0,25.940992573751185,2.913981500020803,0.0
1991-06-15,0.0,0.0,0.0,0.0,3.5732092638948947,0.0,0.0
1992-01-01,36.364717218554745,8.559533587856146,7.468075966795409,15.817468981398754,46.48987091329538,20.42348163995344,5.271476398533833
1992-06-15,0.0,0.0,0.0,0.0,0.0,0.0,1.0
1992-07-15,0.0,0.0,0.0,0.0,0.0,5.416694697106819,10.616921986567673
1992-08-15,0.0,0.0,0.0,0.0,0.0,6.566811340642731,9.777954195171835
1992-09-15,0.0,0.0,0.0,0.0,0.0,1.0,3.7858415640331584
1992-10-15,0.0,0.0,0.0,0.0,0.0,0.0,3.9338620938356548
1993-01-01,7.440033776947743,15.654709540967941,0.844758002048724,8.597732047046486,41.002990679540204,11.623409080856021,6.178725818755232
1993-03-15,0.0,0.0,0.0,0.0,0.0,0.0,0.9321419064632414
1993-04-15,0.0,0.0,0.0,0.0,0.0,12.0,9.78997194675669
1993-05-15,0.0,0.0,0.0,0.0,0.0,0.0,7.729357885983074
1993-06-15,0.0,0.0,0.0,0.0,0.0,0.0,8.235214038295473
