Date,CE,CW,NE,NO,NW,SE,SW
1986-04-15,4.962300537158546,5.831779466129585,1.8057000372060654,1.607400086796593,7.840167444631047,15.554273080615888,1.9708282338658702
1986-05-15,4.976605393106025,6.617403466507436,1.8156300766254263,1.564654096391056,7.960643309324479,15.641712533203291,1.9708282338658702
1986-06-15,5.297340611137234,6.559509350703245,1.859451628933906,1.7706989779514462,8.161886302573542,15.589577984401673,1.9708282338658702
1986-07-15,5.209748115901765,6.52893524289605,1.7244357517674316,1.8831809419024452,8.234183445378555,15.644377346424099,1.9708282338658702
1986-08-15,5.042861493837759,6.362869029344963,1.8660889633949562,1.755331173314624,8.216153377325828,15.445065849443795,1.9708282338658702
1986-09-15,5.240106789822772,6.352798505261535,1.9570030179665252,1.7656459001847642,8.233107567890379,15.519452475015191,1.9708282338658702
1986-10-15,5.219297768306193,6.332912812743731,1.91254736658642,1.7756278939300607,8.132498361761444,15.610037341539156,1.9708282338658702
1987-03-15,5.27987369232576,6.232821493737458,1.6887872546398908,1.825870595781388,7.626098690912481,15.898645017433887,1.9708282338658702
1987-04-15,5.2923098091774605,6.212272944802396,1.8023624979365194,1.8361853226515281,7.522135844579247,15.957895599902342,1.9708282338658702
1987-05-15,5.178022319914948,5.516167444381364,1.8824330237179325,1.4883739835955847,7.6752581905376305,15.663743983582597,1.9708282338658702
1987-06-15,5.270114383448812,5.714153967425482,1.796384169164248,1.7536227134635785,8.063770869407447,15.42692023828293,1.9708282338658702
1987-07-15,5.177155247681105,6.504565303302004,1.888441562300238,1.5108056232114135,8.070848589394492,13.755144689528008,1.9708282338658702
1987-08-15,4.926080165405417,6.347160413441704,1.8766349153314679,1.7609155633685802,7.610084846555153,13.978994225871316,1.9087511427093726
1987-09-15,5.146510292404486,6.2596416488709306,1.9016579250618904,1.6206413644748165,7.624749750176886,14.014359764208075,1.9153092578712976
1987-10-15,5.170532523654063,6.167984185989607,1.9265562797416973,1.621481791664199,7.642160810986255,14.396819615465356,1.9190937538766644
1988-03-15,5.328925621279908,5.703586374057573,1.9357529847244799,1.625739956090404,7.730376852420399,13.949779894719454,1.9382685336371897
1988-04-15,5.361229476716754,5.735970821577925,1.937628628503863,1.6266083975194328,7.794586634857102,13.858607320093645,1.942179179509402
1988-05-15,5.415827792281104,6.138117884962424,1.8739532290137302,1.5557215773436797,7.557750171879826,13.644830892341156,1.9459636755147687
1988-06-15,5.3868798687216985,6.1188229296112135,1.8719460402153953,1.7772209905472267,7.996576995167893,13.461264805105836,1.9498743213869811
1988-07-15,5.197395421838438,6.011907680899702,1.7519846325061765,1.78636133963585,8.21693729186151,13.331344479624333,1.9536588173923481
1988-08-15,4.953083794619337,5.941413154537455,1.6178749045727538,1.6964310098302706,7.916291867620351,13.615686559583002,1.9575694632645604
1988-09-15,4.881260913381713,5.911867482261216,1.660649627713331,1.695467245315926,7.8573429595309205,13.275513648816071,1.9614801091367728
1988-10-15,4.9833038969694465,5.914705469187605,1.6853182907496629,1.6945345699794632,7.9730743190528885,13.058716556740192,1.9652646051421396
1989-03-15,5.210554188330765,5.928990003383773,1.8094838946992005,1.6898401041192677,8.555588828646798,13.012628151164614,1.9843132350358192
1989-04-15,5.019360535766671,5.956742540585928,1.701531371181005,1.688876339604923,8.536318035958953,13.00316629306632,1.9882238809080317
1989-05-15,4.937682673457009,6.085405793963093,1.858663152960509,1.6012495455947633,8.727132727283593,13.781329472422359,1.9920083769133987
1989-06-15,5.3547284245221825,6.156045914250331,1.7918453024301313,1.7753420699071008,8.793593854239777,13.704973711053478,1.9959190227856112
1989-07-15,5.6440456341301894,5.952220939241781,1.8231268560687492,1.8292649143090594,8.92357936116396,13.217923518963515,1.999703518790978
1989-08-15,5.5631729262438645,6.27917259485339,1.7859990674915167,1.7452351167296936,8.54832719777608,13.210591268524928,2.0036141646631904
1989-09-15,5.4926170056458705,6.479804532663764,1.8321951754708314,1.710368302460044,8.677042630870632,13.22119201190941,2.007524810535403
1989-10-15,5.184077101724124,6.389865260924467,1.8227758694692047,1.7058904723835688,8.729179177099851,13.307797696470852,2.0113093065407694
1990-03-15,5.21344473096991,5.937170926503344,1.77536536259435,1.6833520609986419,8.991599793120265,13.743712975430123,2.0303579364344495
1990-04-15,5.0555470041811805,5.785077546920822,1.6516687382828894,1.6787249699196174,9.020516274802201,13.57862921550352,2.0342685823066615
1990-05-15,5.4456387553506085,5.5392368613323715,1.913948273465167,1.6014107558275728,9.077263821469547,13.860574879395669,2.0380530783120285
1990-06-15,5.858696124570363,6.017921090148987,1.8128090032583457,1.7801708258616555,9.156595553072478,13.398318770784583,2.041963724184241
1990-07-15,5.990675237831114,5.995885688067239,1.8038287660882253,1.8439472326408617,8.922797969580705,13.237405817592096,2.045748220189608
1990-08-15,5.812439163014132,5.737377747208911,1.7958434963619445,1.5825251687496402,9.00150075809794,13.358393661253709,2.04965886606182
1990-09-15,5.128882055131414,5.742924421953519,1.8150103928440515,1.6227773486973274,9.085250503781605,13.483883864233901,2.0535695119340325
1990-10-15,5.564544194190588,5.749222119417454,1.834885870282832,1.6246584815483933,9.033415225939084,13.470295042832843,2.0573540079393995
1991-01-01,5.370095121012198,5.765596132823689,1.886120520389638,1.629549426961165,8.633712369588142,13.43640320006647,2.067193697553353
1991-06-15,5.512477480121346,5.800233468875339,1.99450151100019,1.6398956576420287,8.45679066241114,13.495530628417773,2.0880084255828706
1992-01-01,5.679631656845856,5.722440590925955,1.952596487783806,1.5986528229434471,8.058358053260735,13.559073800004958,2.051533206873489
1992-06-15,5.744408037295628,5.7739037754130065,2.013557722074629,1.6451486193174703,8.126109927241774,13.557632284955885,2.068829354031164
1992-07-15,5.755982346783204,5.783204350922714,2.024574812609115,1.65355147408386,8.139790287321395,13.922122427623798,2.087855515885637
1992-08-15,5.767942466587037,5.792814945616079,2.0359591394947505,1.6622344240091296,8.153926659403675,13.745782124286613,1.911050933979586
1992-09-15,5.779902586390868,5.802425540309443,2.0473434663803864,1.6709173739343988,8.168063031485953,13.712902622068638,2.037778653883153
1992-10-15,5.791476895878448,5.811726115819152,2.058360556914872,1.6793202287007887,8.181743391565576,13.683198384601582,2.0964800603067246
1993-01-01,5.790144512388673,5.703092055866771,2.0870049923045353,1.7235311815404584,8.151132731076146,13.484693346090411,2.0453614488295186
1993-03-15,5.811674900590449,5.7164515676557235,2.1159732359295322,1.711094580657181,8.169289301788984,13.4867049453054,2.0800992516881887
1993-04-15,5.820610139817059,5.722124784990757,2.128274818838778,1.7058132843916791,8.176264522800297,13.506254070294828,2.0482347908002345
1993-05-15,5.82925714552023,5.727614995314985,2.1401795764928853,1.700702352521839,8.183014736682212,13.528133921968147,2.0544597070969064
1993-06-15,5.838192384746841,5.73328821265002,2.1524811594021305,1.6954210562563377,8.189989957693525,13.550743102030584,1.9161983006549344
1993-07-15,5.846839390450011,5.738778422974247,2.1643859170562387,1.690310124386498,8.196740171575438,13.572622953703899,1.936337712406861
1993-08-15,5.855774629676621,5.744451640309281,2.176687499965484,1.685028828120996,8.203715392586753,13.59523213376633,1.7846081048901328
1993-09-15,5.86470986890323,5.750124857644316,2.188989082874729,1.6797475318554944,8.210690613598064,13.617841313828752,1.7567307358052902
1994-01-01,5.664211315299766,5.7647332873254005,2.223825570366527,1.6593418138862652,8.197946726650965,13.69639696032773,1.7052043434139939
