Date,CE,CW,NE,NO,NW,SE,SW
1986-04-15,62.13710252136951,69.98564669802047,22.420874507425605,21.088440849928617,89.16274129169526,141.0659061111218,20.667821464438873
1986-05-15,62.68184365113324,78.92970502544816,22.55161923759352,20.375301291053667,90.15775869761367,141.94852932757155,20.667821464438873
1986-06-15,65.67851951675375,78.41062995791394,22.78476034304324,23.760039345693745,92.06075218379716,139.82348032877468,20.667821464438873
1986-07-15,65.63334384768041,77.87217792175751,20.908023584915,24.905823770602847,94.16759016175077,140.31827205622545,20.667821464438873
1986-08-15,64.00197071122604,75.99316388411043,22.652118436529584,23.707008801187484,93.74020868659862,141.8392829854796,20.667821464438873
1986-09-15,65.81229680316582,75.90727329624501,23.691697389304164,23.91279674976103,94.29815232425413,142.98215480314107,20.667821464438873
1986-10-15,65.45223209232913,75.72817984409066,23.103025869279737,24.11194637741284,93.1696900355487,144.13279490525906,20.667821464438873
1987-03-15,65.90589150211963,74.82674280158045,20.140045885156805,25.114332836593636,87.48976318239797,149.67793489682805,20.667821464438873
1987-04-15,65.99902687763957,74.64167956768762,22.35542157536385,25.320120785167173,86.32368548406897,150.8163411202628,20.667821464438873
1987-05-15,64.5425303423232,67.53705095651327,23.097035492243982,21.3195641338566,87.05908693647909,147.04774773832477,20.667821464438873
1987-06-15,66.45455301035757,69.25221555400437,21.767816343629168,23.77331418566008,92.41937098819,143.3835000169032,20.667821464438873
1987-07-15,64.47209371599149,76.66470660187157,22.698886887491962,21.761580407956398,92.49275670189539,134.2433191851209,20.667821464438873
1987-08-15,61.378847454581134,75.2998253392697,23.307786840068708,24.691511384182835,88.40741953401786,138.62063154578135,20.17899733251384
1987-09-15,64.98457412544825,74.80131400897506,23.74437145898498,22.99587705837748,88.44366408208663,137.99098361869713,20.321186433965735
1987-10-15,65.62314286945748,73.85649265173258,23.90926894804642,22.89489339961889,88.54445881330649,140.46179227658897,20.36536085928177
1988-03-15,68.13777439192381,69.06939777503734,24.137894493482026,22.38324286190868,89.05515211815397,135.8447624804708,20.589177947549683
1988-04-15,68.65062687347942,69.10440263389927,24.184522071827445,22.27889308119147,89.620847102344,134.90313140363094,20.634824853709585
1988-05-15,67.32617341465286,73.16805256762079,23.178782327399706,21.03654442626638,87.65954422438317,132.43706778929743,20.678999279025618
1988-06-15,68.02226109678445,73.09867924244118,22.599700373195798,25.008580132578533,92.01277178457289,132.73712069406884,20.72464618518552
1988-07-15,65.44779890651058,72.61836186733244,21.140515143346157,23.97835929032448,93.92542604592813,129.01330486606787,20.768820610501557
1988-08-15,62.51461852940309,71.79903235962703,19.323755194926093,23.508309242111913,91.65050919405263,135.3276427759536,20.81446751666146
1988-09-15,61.19908338230403,71.32736533955513,19.35478876158076,23.450365227660658,91.16244443800589,129.00599882950263,20.86011442282136
1988-10-15,66.33605261641763,71.32641027019609,19.751322321906528,23.394290374965895,92.01993443529892,125.7437653851623,20.904288848137398
1989-03-15,68.1890927109443,71.32160308775559,21.74720790887958,23.11204694973559,96.33596742167386,123.05032484076588,21.12663345556144
1989-04-15,62.92326578939913,70.31274120708811,20.419998113354676,23.054102935284334,96.09054030403239,122.49736684820772,21.172280361721345
1989-05-15,62.22171190020329,72.48921419702809,22.31956825870763,22.212668687137604,98.14226595564568,134.44683240542463,21.216454787037378
1989-06-15,67.3611113491733,74.00579573917413,22.047389464044123,24.37601781221257,98.85918736743113,131.56935120178517,21.26210169319728
1989-07-15,75.86759912390698,70.76332918272283,22.121482156034812,25.403415862469494,100.3891486752572,125.58577816233475,21.306276118513317
1989-08-15,76.02402007336237,73.47949035911036,22.007736561041234,23.28292466259173,95.76430969282372,125.31836408514559,21.35192302467322
1989-09-15,74.17161827438478,75.55809676259734,22.56298337149011,23.32988031506164,97.88345591003961,124.77668615666278,21.39756993083312
1989-10-15,64.00900922983607,74.92522388634032,22.3688606170391,23.222749023028637,98.1549056565964,125.246055585575,21.441744356149158
1990-03-15,65.62026430543806,71.73976374251329,21.391776086302364,22.683521519795868,99.52120271426546,127.60854837776662,21.6640889635732
1990-04-15,64.37761028394993,70.00880696483618,20.117460697809996,22.572819184695103,99.58812320801601,126.42213547457939,21.709735869733105
1990-05-15,67.29843501516223,66.55154696320974,23.252847164285335,21.347754203635567,100.66599783148072,131.63447556883477,21.75391029504914
1990-06-15,75.64932363237155,70.86973241250392,22.218873121716367,23.923053384239804,102.02102192009177,124.33951171881586,21.79955720120904
1990-07-15,83.85722294942532,71.04953275962207,22.44178890613768,24.680318431207393,100.12268326299123,123.79248532191471,21.843731626525077
1990-08-15,77.46885110404902,67.97804096112417,21.770017849332817,21.87575560533449,100.61453964836222,125.92413548912518,21.88937853268498
1990-09-15,63.17152596978307,68.60403263302508,21.972963364020117,22.879979107797634,101.41037417211567,126.69440983266315,21.93502543884488
1990-10-15,71.05609122218962,68.67082124065803,22.11377252301655,22.88294259198859,101.13383708913717,128.53566030836495,21.979199864160915
1991-01-01,67.81316198138211,68.84447162050367,22.490609536221324,22.890647650885068,97.36171687936685,128.36785967145394,22.094053369982607
1991-06-15,69.75041086743809,69.21180896248482,23.287764756462185,22.906946813935303,96.56483077896456,129.26043952613358,22.3370127092208
1992-01-01,72.27993060209847,68.73514749498558,22.838709866788786,22.19117991273997,92.96416906930114,130.31236530856955,21.719292380838027
1992-06-15,72.67590299880892,69.25076686829895,23.305357842611446,22.69436230911625,93.77109201848138,130.67307121250553,21.935540969584004
1992-07-15,72.7464803982664,69.34395109239173,23.38969181414566,22.78529888677461,93.92056095315574,133.19120919915508,22.167884683358313
1992-08-15,72.81941037770584,69.4402414572876,23.476836918064354,22.879266683688247,94.0750121856526,132.33473093587105,19.975394341355344
1992-09-15,72.89234035714523,69.53653182218345,23.56398202198304,22.973234480601892,94.22946341814942,132.1741762405881,20.514130477890596
1992-10-15,72.96291775660274,69.62971604627623,23.648315993517254,23.064171058260253,94.37893235282382,132.03447694061967,20.891360860332966
1993-01-01,73.00092314562983,68.14730900110224,23.867584319506214,23.40682334963897,93.74467271579593,131.37587124468303,20.555441367538677
1993-03-15,73.06691331071775,68.2754615053534,24.109323142060287,23.294175648739092,94.02058405078742,131.50227106227905,20.796870289196182
1993-04-15,73.09304281139306,68.32988243181627,24.21197935437777,23.24633895383641,94.14242556728921,131.6735459726759,20.53692378566192
1993-05-15,73.11832942494986,68.38254784452222,24.311324075975335,23.20004537812413,94.26033671229094,131.90920047789953,20.60308029599386
1993-06-15,73.14445892562522,68.43696877098508,24.41398028829281,23.152208683221446,94.38217822879274,132.15271013329732,19.66175427756777
1993-07-15,73.16974553918197,68.48963418369104,24.513325009890377,23.10591510750917,94.50008937379448,132.38836463852087,19.822452873427533
1993-08-15,73.19587503985733,68.54405511015386,24.615981222207857,23.05807841260648,94.62193089029627,132.63187429391863,18.962285515974052
1993-09-15,73.2220045405327,68.59847603661672,24.718637434525338,23.010241717703803,94.74377240679809,132.87538394931642,18.695582173530568
1994-01-01,72.32457658453959,68.70545705661529,24.9544304734966,22.895943550062913,94.61029357548418,133.73149208206283,18.336402189452603
1994-05-15,70.0690680987133,68.05707469020186,25.263609524683904,23.056249022930658,94.06776132447656,134.37929345819435,18.168480238205404
1994-06-15,69.64815653897847,68.58498722745351,23.509585835528377,23.961004721017936,90.35681667681398,135.1581449474474,18.129632622618367
1994-07-15,71.25205859561488,80.592213758247,23.21041626482499,24.349774951884836,91.9614907657631,136.90303197480162,18.056853773762718
1994-08-15,66.19636112812806,81.13635923115918,23.01842881297325,26.351855920219244,88.86834871387808,138.70608190306768,17.981648963278552
1994-09-15,62.418588365817655,63.492495570985525,22.932676391773654,27.226948638155022,91.53289959770088,139.36778989645808,17.444944804774735
1995-01-01,61.39525301376743,63.19963001738843,22.676166348655368,26.86719397032889,90.80071694147965,138.52397345802243,17.696525101846646
1995-04-15,61.990551747006755,64.43804005891523,22.31216921837211,26.299177223431304,89.99259775100387,137.77187043743947,18.46958654633478
1995-05-15,62.162272535441176,64.79527372474026,22.207170046175015,26.13670862413425,89.82922760597371,137.55491764304054,18.465915971654773
1995-06-15,62.33971735015673,65.16441517942614,22.098670901571353,25.96882440486062,89.66041178944252,137.33073308882825,18.40835018698088
1995-07-15,62.51143813859117,65.52164884525119,21.993671729374256,25.806355805563566,89.49704164441225,137.1137802944293,17.930001796298225
1995-08-15,62.67319199021667,65.90037092200328,21.886087016306046,25.632683086921276,89.32876774628153,136.69636536263238,17.894309432678064
1995-09-15,62.815637904778065,66.29106139774541,21.779610157306482,25.4521227843758,89.16129779866993,136.25775609358345,18.041174959220623
1995-10-15,62.9531547659844,66.66958813718067,21.676564720597767,25.277572379749582,88.9994215119829,135.83379441634978,18.218396863149643
1996-01-01,63.28668617660709,67.44047663075123,21.408631324843306,24.82459464683975,88.46859974915839,133.20326183212,18.758886473390486
1996-04-15,63.99028474653352,67.84774884919395,21.219862630482304,26.273459880122463,88.45867145335747,134.6860675360288,19.616557223302568
1996-05-15,64.1806324928256,67.84344954774308,21.171462641601003,26.033163568824286,88.42097178997194,135.10126643320558,19.602440660409727
1996-06-15,64.37694472036021,67.83896396713516,21.12145818378738,25.785248780559186,88.38211772629751,136.27506431297869,19.866867703563365
