,Basins,precipcorr,refreezecorr,runoffcorr,smb_rec,sndivcorr,snowfallcorr,snowmeltcorr,sublcorr,t2mcorr,melt_acc,Solid Ice Discharge,Liquid Runoff Ice Sheet,Liquid Runoff Tundra,Liquid Runoff Ice Caps,Precipitation Fjords,Precipitation Fjords CARRA,SID_GrIS,SID_Tundra
0,SE,1126.2214,441.14276,403.6474,690.0797,2.449868,1038.4155,756.97076,-30.040554,259.0212,0.83776045,0.564723810523678,0.1958838284375258,0.1041442667634458,0.0765825867668158,0.0586655075085343,0.0504683544852206,2.882952692053332,5.4225146335361565
1,SW,662.8135,392.35275,532.8015,87.23275,1.0448399,586.8522,849.19403,-41.730038,259.33536,1.6971524,0.113017548628712,0.4554865371772447,0.3184381986282457,0.0559686888781156,0.0570890266876819,0.0453436773087625,0.24812489372157487,0.3549120335297841
2,CE,619.7345,352.65558,308.62286,292.78058,0.9165927,571.9061,613.4209,-17.408556,255.83574,1.1925197,0.431447929159526,0.3113024234740098,0.1198455225753719,0.058802900343373,0.078601224447719,0.0733990736563499,1.3859446526138173,3.6000337758816534
3,CW,416.57532,114.502884,229.07617,162.7118,0.522035,396.6477,323.53986,-24.263851,254.10179,0.9223479,0.4702605119742328,0.3499358921838195,0.1176686237032935,0.0282141293867904,0.0339208427518636,0.0249924519030241,1.343847608884908,3.996481790761953
4,NE,184.56717,95.84114,135.62946,32.55246,0.6326153,171.52205,218.34203,-15.748313,250.9447,1.4854053,0.2236593090586989,0.3581612097906312,0.2648004547951082,0.104680680330994,0.0486983460245675,0.0385950883513685,0.6244654723760914,0.8446334022793025
5,NW,356.15857,125.377754,142.40533,198.95241,0.550799,340.29434,251.81406,-14.250463,252.63776,0.82098854,0.6974346165938768,0.235449227952488,0.0356381936528487,0.0160882278524263,0.0153897339483601,0.0123828706340689,2.9621444192402038,19.569864381668182
6,NO,173.93546,87.884224,164.30212,-1.8831156,1.3942288,160.81755,239.06718,-10.1210165,251.87344,1.6734631,0.3018285042362569,0.3317161107407628,0.2059425682829659,0.1318421671908103,0.0286706495492041,0.0208397414091511,0.9099000454401711,1.4655955140927608
