month,Solid Ice Discharge,Liquid Runoff Ice Sheet,Liquid Runoff Tundra,Liquid Runoff Ice Caps,Precipitation Fjords
1,93.3181050241071,0.04416602247904525,1.4704151543142097,0.07262057208178746,5.094693227017859
2,95.48364558381212,0.042317825800859576,1.0723144674310932,0.06606741921695536,3.335654703738965
3,93.67243857025382,0.05233772145976969,1.9019323186390955,0.06581085930325539,4.30748053034407
4,77.15163482594292,0.8716600301113646,16.597300763850413,0.12924302350802946,5.2501613565872605
5,50.12405675163172,12.699404333703804,33.537828991951685,0.9007446488532671,2.7379652738595213
6,26.62061970744428,48.028920155433156,21.23935833187654,2.9338903011655773,1.1772115040804438
7,16.949099896561176,68.53116093099827,7.269711726749279,6.134855493188846,1.1151719525024344
8,26.482509422805823,56.93395967173611,7.957436065173935,5.995870972834273,2.6302238674498506
9,65.6254260106613,19.7274386947638,7.981173033334506,1.2209730135924597,5.444989247647936
10,85.60847424833628,1.239605732657519,5.6074725683097455,0.15630596452359474,7.388141486172859
11,88.14310255548301,0.10811120068096768,4.2746564484334515,0.0813970254390618,7.392732769963511
12,90.56691467457017,0.05325439872470209,2.895280488326549,0.07861407648296571,6.405936361895605
