month,Solid Ice Discharge,Liquid Runoff Ice Sheet,Liquid Runoff Tundra,Liquid Runoff Ice Caps,Precipitation Fjords
1,72.11790900115665,0.3284522351471048,2.491645972467418,0.5304575512259574,24.531535240002878
2,81.34627642332454,0.31543166970491776,2.0240648339247493,0.5010502562292413,15.813176816816558
3,85.18525670177114,0.3934187303283862,1.2475702929472998,0.5914302653858172,12.582324009567362
4,64.55234824234411,1.3242537480205725,28.540633268448772,1.0919597797923941,4.490804961394142
5,23.316052532151108,5.471906000995476,66.25565979271701,1.5953126031490614,3.361069070987346
6,9.650905452998101,32.98693034665029,48.627070168887464,7.561564353967452,1.1735296774966912
7,5.5066045495240425,59.33431284015101,16.385995462511783,18.054463156360733,0.7186239914524456
8,12.077828854320053,50.85444851878634,16.661522774475923,17.91169605046146,2.4945038019562076
9,51.101831600944415,9.69583320442873,15.399877012170235,3.905802680633548,19.896655501823073
10,67.13959802090346,0.6111109539443322,10.146440002365496,0.6812346863803906,21.421616336406327
11,75.29659787131952,0.3456898833044837,6.7620397985492655,0.5719807326714214,17.023691714155305
12,78.01498488368996,0.3568554661293396,4.463135441478778,0.5860539986333563,16.578970210068565
