month,Solid Ice Discharge,Liquid Runoff Ice Sheet,Liquid Runoff Tundra,Liquid Runoff Ice Caps,Precipitation Fjords
1,93.22749683640606,0.06283156457741766,0.03801743064812429,0.03961227879453451,6.632041889573857
2,95.3810374650341,0.05161513748468247,0.043631879500275625,0.034405229453933095,4.489310288527007
3,94.1854721241601,0.05644037232209883,0.02937285035184498,0.03703617487086977,5.691678478295086
4,94.00044832620232,0.12102093044853882,1.049745130524966,0.07288912272845326,4.755896490095726
5,52.34555679108372,0.5022576610641108,41.555358433903415,0.436532281690486,5.160294832258263
6,13.145144177918402,31.43952811899296,43.595572601503335,10.24624801715317,1.5735070844321348
7,6.157913099297034,54.57235459159734,13.17439739333108,25.58014466050262,0.5151902552719212
8,15.5534483007289,47.129026072371936,10.586677616186211,24.499145151439134,2.2317028592738186
9,80.9021142959376,4.190824030589382,3.7789966213205926,1.448095230006231,9.679969822146207
10,88.94023666828836,0.1035991923677854,1.6283371057363285,0.10911826652983518,9.218708767077684
11,94.26914164640337,0.0768606218020586,0.20992356416421862,0.04520774389373117,5.3988664237366235
12,93.76307291650392,0.06850251088276578,0.04988058628935802,0.043428050566196336,6.075115935757761
